"State","B23006_001","B23006_002","B23006_003","B23006_004","B23006_005","B23006_006","B23006_007","B23006_008","B23006_009","B23006_010","B23006_011","B23006_012","B23006_013","B23006_014","B23006_015","B23006_016","B23006_017","B23006_018","B23006_019","B23006_020","B23006_021","B23006_022","B23006_023","B23006_024","B23006_025","B23006_026","B23006_027","B23006_028","B23006_029","B23020_001","B23020_002","B23020_003","B23025_001","B23025_002","B23025_003","B23025_004","B23025_005","B23025_006","B23025_007"
"Alabama",2520025,344267,172321,31,172290,144863,27427,171946,753711,508834,850,507984,460459,47525,244877,798637,597420,4834,592586,550428,42158,201217,623410,523845,4351,519494,501576,17918,99565,38.8,41.4,36,3846845,2242401,2229422,2022325,207097,12979,1604444
"Alaska",398734,26191,15675,33,15642,13355,2287,10516,112476,83940,1401,82539,72886,9653,28536,148816,119551,5535,114016,107191,6825,29265,111251,97248,2992,94256,91916,2340,14003,42,45.6,37.5,565212,399077,382393,351108,31285,16684,166135
"Arizona",3341229,460763,276410,17,276393,240517,35876,184353,784817,543323,904,542419,489799,52620,241494,1172235,891334,5711,885623,821653,63970,280901,923414,766134,3520,762614,733482,29132,157280,38.4,40.3,36.2,5207123,3106324,3089118,2813406,275712,17206,2100799
"Arkansas",1509078,197105,107584,8,107576,95377,12199,89521,514902,351258,383,350875,323628,27247,163644,460393,345153,1889,343264,322108,21156,115240,336678,284297,1113,283184,275945,7239,52381,39.3,41.8,36.5,2328384,1365791,1361024,1256081,104943,4767,962593
"California",20460538,3566096,2343533,372,2343161,2069101,274060,1222563,4162176,3032918,13946,3018972,2692160,326812,1129258,6176135,4790347,34745,4755602,4332397,423205,1385788,6556131,5581790,22470,5559320,5277037,282283,974341,37.8,39.9,35.3,30312429,19269449,19137441,17246360,1891081,132008,11042980
"Colorado",2875337,252694,167545,33,167512,151501,16011,85149,594569,447170,2720,444450,410598,33852,147399,903532,726893,9350,717543,673637,43906,176639,1124542,968888,7018,961870,927128,34742,155654,38.8,41.4,35.8,4168824,2852439,2820014,2624436,195578,32425,1316385
"Connecticut",1920577,156561,100275,18,100257,84248,16009,56286,493146,388658,698,387960,347670,40290,104488,504927,423917,2013,421904,387157,34747,81010,765943,667005,1710,665295,637970,27325,98938,38,40.8,35,2906229,1962170,1953709,1781417,172292,8461,944059
"Delaware",483910,49858,29677,0,29677,25744,3933,20181,143836,106506,223,106283,96506,9777,37330,137471,112211,1382,110829,104323,6506,25260,152745,132798,454,132344,127884,4460,19947,38.1,40,36.1,744949,473007,470039,433816,36223,2968,271942
"Florida",10173214,1177582,720219,31,720188,615683,104505,457363,2904510,2094054,3706,2090348,1867827,222521,810456,3229265,2523856,16940,2506916,2304551,202365,705409,2861857,2396077,13922,2382155,2268966,113189,465780,38.4,40.3,36.4,16077778,9510681,9457267,8541291,915976,53414,6567097
"Georgia",5309738,687010,396275,186,396089,340408,55681,290735,1450805,1018964,4824,1014140,913843,100297,431841,1566956,1228750,14731,1214019,1113113,100906,338206,1604967,1373572,10177,1363395,1306947,56448,231395,39,41.3,36.4,7792052,4906258,4857206,4388274,468932,49052,2885794
"Hawaii",742402,48411,30602,63,30539,27749,2790,17809,198282,149599,4594,145005,134671,10334,48683,258025,207834,13466,194368,184009,10359,50191,237684,203149,7825,195324,189891,5433,34535,38.7,40.8,36.3,1130491,736939,695572,653284,42288,41367,393552
"Idaho",807934,78116,51071,0,51071,45566,5505,27045,213780,155788,244,155544,145378,10166,57992,300958,228964,1543,227421,214240,13181,71994,215080,180344,586,179758,174366,5392,34736,38,41.4,34.1,1232564,774526,771173,715861,55312,3353,458038
"Illinois",6862190,716536,446511,26,446485,384612,61873,270025,1694971,1263379,655,1262724,1130749,131975,431592,2067389,1678997,4773,1674224,1538720,135504,388392,2383294,2073238,3222,2070016,1985036,84980,310056,38.3,40.8,35.6,10201787,6712162,6694742,6086226,608516,17420,3489625
"Indiana",3403142,361045,205622,17,205605,176323,29282,155423,1101252,817590,511,817079,751389,65690,283662,1062104,857790,1441,856349,801862,54487,204314,878741,766728,699,766029,743732,22297,112013,38.4,41.1,35.4,5160786,3300531,3297501,3038762,258739,3030,1860255
"Iowa",1569576,110795,73265,4,73261,65791,7470,37530,446499,351417,224,351193,333652,17541,95082,555612,469966,732,469234,451145,18089,85646,456670,404672,605,404067,396874,7193,51998,38.6,41.5,35.5,2447401,1656968,1655245,1573510,81735,1723,790433
"Kansas",1465403,131008,87134,87,87047,78938,8109,43874,360208,272700,1774,270926,252767,18159,87508,492078,401806,5304,396502,376745,19757,90272,482109,421713,4028,417685,407613,10072,60396,39,41.8,35.8,2247842,1507080,1489651,1401197,88454,17429,740762
"Kentucky",2322241,293787,129247,36,129211,109425,19786,164540,765919,513444,1396,512048,466555,45493,252475,708579,540129,4328,535801,499515,36286,168450,553956,476906,2543,474363,459555,14808,77050,38.6,41.1,35.9,3493098,2080437,2065689,1891381,174308,14748,1412661
"Louisiana",2427372,356877,188736,5,188731,163027,25704,168141,807559,562075,1332,560743,519727,41016,245484,693596,537936,4708,533228,499290,33938,155660,569340,486224,3921,482303,467283,15020,83116,39.9,43.2,36.4,3634163,2208869,2194199,2016049,178150,14670,1425294
"Maine",718669,44231,22196,0,22196,19003,3193,22035,230660,168024,154,167870,154553,13317,62636,229389,183333,675,182658,171910,10748,46056,214389,186754,517,186237,181071,5166,27635,38,40.8,35.1,1098075,697913,696184,648687,47497,1729,400162
"Maryland",3227308,292670,193104,15,193089,168076,25013,99566,783948,600986,1095,599891,547054,52837,182962,872288,720530,7306,713224,666025,47199,151758,1278402,1135501,9299,1126202,1090557,35645,142901,38.9,40.8,36.8,4737405,3241222,3214531,2976504,238027,26691,1496183
"Massachusetts",3625092,299054,177812,0,177812,153325,24487,121242,848630,655136,460,654676,592535,62141,193494,899076,742990,1852,741138,688950,52188,156086,1578332,1389011,1483,1387528,1336315,51213,189321,37.6,40.4,34.8,5479502,3700701,3696139,3415975,280164,4562,1778801
"Michigan",5169800,451126,237502,0,237502,191205,46297,213624,1439430,988113,259,987854,876077,111777,451317,1802991,1394829,1563,1393266,1281076,112190,408162,1476253,1258820,1161,1257659,1209181,48478,217433,37.7,40.6,34.6,7925988,4855005,4851264,4373518,477746,3741,3070983
"Minnesota",2879463,178232,116592,0,116592,103335,13257,61640,665527,524684,138,524546,490626,33920,140843,998865,851304,1088,850216,810410,39806,147561,1036839,925677,623,925054,900392,24662,111162,38,40.6,35.2,4281141,2996985,2994959,2827195,167764,2026,1284156
"Mississippi",1525532,233037,114417,5,114412,94240,20172,118620,453518,305919,525,305394,275918,29476,147599,513117,394229,2610,391619,362709,28910,118888,325860,274331,2531,271800,262648,9152,51529,39.3,42,36.5,2333154,1352993,1342359,1203914,138445,10634,980161
"Missouri",3147699,307374,169720,0,169720,144801,24919,137654,917250,667417,1283,666134,613159,52975,249833,1004065,795765,4443,791322,741210,50112,208300,919010,796954,3225,793729,771277,22452,122056,38.5,40.9,36,4803676,3053938,3034524,2807996,226528,19414,1749738
"Montana",526167,31368,18322,0,18322,15950,2372,13046,150976,112161,177,111984,104901,7083,38815,183843,143030,1051,141979,134414,7565,40813,159980,137524,766,136758,132570,4188,22456,38.3,41.3,34.8,814661,521330,517807,485446,32361,3523,293331
"Nebraska",951338,80956,55800,0,55800,50914,4886,25156,229386,183105,177,182928,174404,8524,46281,338849,288578,1477,287101,276894,10207,50271,302147,269668,1855,267813,262909,4904,32479,39.3,42.3,35.9,1454157,1020419,1015736,968134,47602,4683,433738
"Nevada",1503531,221555,150496,0,150496,131638,18858,71059,420262,317336,480,316856,281038,35818,102926,517592,407478,3458,404020,368223,35797,110114,344122,287573,2538,285035,269575,15460,56549,38.3,40,36.3,2210559,1424596,1415779,1267312,148467,8817,785963
"New Hampshire",723181,44215,27878,0,27878,24832,3046,16337,197728,156236,133,156103,147154,8949,41492,217060,180624,413,180211,171272,8939,36436,264178,230491,326,230165,224017,6148,33687,38.2,40.9,35.4,1087512,742874,741543,698810,42733,1331,344638
"New Jersey",4812272,446409,294272,46,294226,256575,37651,152137,1275125,971680,687,970993,871682,99311,303445,1185442,974637,2715,971922,890971,80951,210805,1905296,1647471,1665,1645806,1570940,74866,257825,38.5,41,35.7,7120154,4702508,4695103,4281760,413343,7405,2417646
"New Mexico",1061344,153607,89856,0,89856,77242,12614,63751,280856,190480,433,190047,172073,17974,90376,352128,261278,2576,258702,240449,18253,90850,274753,227845,2434,225411,217473,7938,46908,38.2,40.4,35.7,1633310,973891,964959,876035,88924,8932,659419
"New York",10615360,1306879,789303,24,789279,694723,94556,517576,2641113,1924989,2151,1922838,1755005,167833,716124,2785651,2220409,6500,2213909,2050840,163069,565242,3881717,3372915,4636,3368279,3224276,144003,508802,38.4,40.7,35.9,15921937,10107278,10083719,9254578,829141,23559,5814659
"North Carolina",5181109,638273,379394,93,379301,323308,55993,258879,1307604,941055,8202,932853,837474,95379,366549,1683318,1324674,26851,1297823,1195827,101996,358644,1551914,1324370,14017,1310353,1262720,47633,227544,38.8,41.3,36.2,7812594,4909108,4826193,4372773,453420,82915,2903486
"North Dakota",365390,18303,12004,0,12004,11183,821,6299,92365,74243,343,73900,71256,2644,18122,143421,122032,1537,120495,118060,2435,21389,111301,99696,744,98952,97978,974,11605,40.5,44.5,35.8,575611,404820,399180,387716,11464,5640,170791
"Ohio",6070227,538297,281282,0,281282,232707,48575,257015,1939068,1416730,417,1416313,1299141,117172,522338,1885166,1507145,2897,1504248,1399940,104308,378021,1707696,1485470,3235,1482235,1438076,44159,222226,38.1,40.8,35.2,9229397,5852224,5843924,5366673,477251,8300,3377173
"Oklahoma",1965194,233666,136957,15,136942,123883,13059,96709,602499,420888,1212,419676,391994,27682,181611,636063,483919,5285,478634,454816,23818,152144,492966,419157,4103,415054,405971,9083,73809,39.7,42.4,36.6,3003180,1854061,1835519,1719541,115978,18542,1149119
"Oregon",2108095,207547,137848,0,137848,119367,18481,69699,484237,345877,345,345532,310105,35427,138360,749898,570911,1049,569862,522124,47738,178987,666413,556918,647,556271,530158,26113,109495,37.1,39.8,34.2,3177669,1976314,1973823,1789807,184016,2491,1201355
"Pennsylvania",6729726,569645,309507,58,309449,264218,45231,260138,2274786,1675841,600,1675241,1537862,137379,598945,1772985,1435144,1788,1433356,1339039,94317,337841,2112310,1836416,1844,1834572,1770512,64060,275894,38.2,41,35.2,10384811,6521759,6516882,6001889,514993,4877,3863052
"Rhode Island",558352,61278,38243,0,38243,32644,5599,23035,144971,111919,293,111626,100164,11462,33052,162461,133865,658,133207,124050,9157,28596,189642,167072,1578,165494,159593,5901,22570,37.2,39.9,34.5,865174,569623,566588,518170,48418,3035,295551
"South Carolina",2483228,306794,164066,56,164010,135705,28305,142728,722745,512383,2271,510112,457871,52241,210362,790491,619490,7514,611976,568163,43813,171001,663198,559722,5431,554291,535083,19208,103476,38.6,41.1,36,3816548,2323906,2293251,2075274,217977,30655,1492642
"South Dakota",425426,29670,19683,6,19677,17488,2189,9987,123653,99554,100,99454,94888,4566,24099,150026,126310,1254,125056,120592,4464,23716,122077,108100,529,107571,106141,1430,13977,39.7,42.8,36.2,657804,453990,451073,430853,20220,2917,203814
"Tennessee",3429711,406935,210334,69,210265,178795,31470,196601,1111791,781375,2172,779203,708857,70346,330416,999367,779409,6958,772451,722214,50237,219958,911618,779430,4712,774718,750420,24298,132188,38.8,41.1,36.3,5174955,3172519,3155039,2888742,266297,17480,2002436
"Texas",13796911,2320136,1486150,136,1486014,1363894,122120,833986,3407798,2471078,7489,2463589,2288136,175453,936720,4147638,3278159,29222,3248937,3059699,189238,869479,3921339,3356193,21349,3334844,3227788,107056,565146,40,42.5,37,20241168,13101788,13006330,12094262,912068,95458,7139380
"Utah",1391403,119557,83588,0,83588,75813,7775,35969,310978,235779,172,235607,220805,14802,75199,523515,403895,1911,401984,384249,17735,119620,437353,365397,868,364529,355581,8948,71956,36.9,40.2,32.8,2096916,1423700,1419516,1337646,81870,4184,673216
"Vermont",334384,21193,12397,0,12397,10864,1533,8796,98430,77478,76,77402,72614,4788,20952,90716,74332,225,74107,71087,3020,16384,124045,109043,140,108903,106361,2542,15002,37.7,40.4,35,519139,346162,345689,326732,18957,473,172977
"Virginia",4464712,425011,258715,205,258510,230015,28495,166296,1060810,790675,8731,781944,727394,54550,270135,1264703,1018365,29734,988631,933323,55308,246338,1714188,1492755,33163,1459592,1417851,41741,221433,39,41.3,36.5,6598956,4376786,4266800,3990770,276030,109986,2222170
"Washington",3773122,340832,218303,83,218220,192949,25271,122529,838627,609931,4876,605055,553008,52047,228696,1325713,1024880,17371,1007509,937755,69754,300833,1267950,1075727,9913,1065814,1026109,39705,192223,38.1,40.7,35.1,5568640,3586261,3537683,3259877,277806,48578,1982379
"West Virginia",978812,115578,45076,0,45076,38273,6803,70502,392029,250375,53,250322,230909,19413,141654,266742,192437,460,191977,180196,11781,74305,204463,172898,192,172706,167757,4949,31565,38.9,41.6,35.9,1512183,815405,814593,751252,63341,812,696778
"Wisconsin",3024922,223302,137018,14,137004,119736,17268,86284,881438,690503,289,690214,643420,46794,190935,1018945,849114,1202,847912,802834,45078,169831,901237,790496,716,789780,769336,20444,110741,38.2,41,35.1,4583931,3079657,3077153,2883390,193763,2504,1504274
"Wyoming",306272,20406,13937,0,13937,12444,1493,6469,86819,68028,56,67972,64621,3351,18791,118793,96767,844,95923,92293,3630,22026,80254,69244,549,68695,67217,1478,11010,40.5,44.4,36,456640,311371,308951,293949,15002,2420,145269
